1, 1, 2, 1, 9091
2, 1, 0, 3, 9092
3, 1, 4, 4, 9093
4, 1, 2, 2, 9094
5, 1, 0, 3, 9095
6, 1, 0, 3, 9096
7, 1, 0, 3, 9097
8, 1, 2, 1, 9098
1, 2, 0, 2, 9091
2, 2, 4, 3, 9092
3, 2, 3, 0, 9093
4, 2, 3, 0, 9094
5, 2, 3, 1, 9095
6, 2, 1, 2, 9096
7, 2, 4, 1, 9097
8, 2, 4, 3, 9098
1, 3, 4, 1, 9091
2, 3, 2, 0, 9092
3, 3, 4, 3, 9093
4, 3, 4, 3, 9094
5, 3, 4, 3, 9095
6, 3, 3, 0, 9096
7, 3, 3, 1, 9097
8, 3, 1, 0, 9098
1, 4, 1, 4, 9091
2, 4, 0, 0, 9092
3, 4, 4, 2, 9093
4, 4, 0, 2, 9094
5, 4, 2, 3, 9095
6, 4, 4, 2, 9096
7, 4, 1, 1, 9097
8, 4, 1, 1, 9098
1, 5, 1, 3, 9091
2, 5, 2, 0, 9092
3, 5, 4, 0, 9093
4, 5, 1, 3, 9094
5, 5, 2, 4, 9095
6, 5, 1, 4, 9096
7, 5, 4, 4, 9097
8, 5, 3, 4, 9098
1, 6, 4, 0, 9091
2, 6, 0, 2, 9092
3, 6, 0, 4, 9093
4, 6, 1, 1, 9094
5, 6, 0, 2, 9095
6, 6, 0, 0, 9096
7, 6, 0, 1, 9097
8, 6, 3, 4, 9098
1, 7, 2, 0, 9091
2, 7, 4, 2, 9092
3, 7, 3, 2, 9093
4, 7, 0, 3, 9094
5, 7, 1, 3, 9095
6, 7, 2, 0, 9096
7, 7, 4, 2, 9097
8, 7, 3, 3, 9098
1, 8, 1, 4, 9091
2, 8, 0, 3, 9092
3, 8, 3, 2, 9093
4, 8, 0, 0, 9094
5, 8, 4, 3, 9095
6, 8, 0, 1, 9096
7, 8, 3, 2, 9097
8, 8, 0, 3, 9098
1, 9, 3, 3, 9091
2, 9, 3, 3, 9092
3, 9, 0, 1, 9093
4, 9, 1, 0, 9094
5, 9, 4, 0, 9095
6, 9, 1, 4, 9096
7, 9, 3, 0, 9097
8, 9, 3, 4, 9098
1, 10, 2, 0, 9091
2, 10, 1, 0, 9092
3, 10, 1, 3, 9093
4, 10, 4, 4, 9094
5, 10, 4, 1, 9095
6, 10, 3, 4, 9096
7, 10, 0, 1, 9097
8, 10, 3, 0, 9098
